"","Ca","Mg","K","Na","Fl","SO4","Cl","NO3","TH","pH","EC","TDS","WQI"
"509",55.95084,35.2333,2.542614,86.19701,0.2,41.331944,168.98328,75.7,284.0161,7.13633,438,1.4,53.671598236902
"510",63.39416,39.57216,3.025514,96.84389,0.3,23.206833,208.94627,78.2,294.0211,7.159892,534,1.4,57.9387186842353
"511",40.3212,40.35614,4.110653,103.31802,0.9,5.071183,184.84561,113.5,285.4102,7.403609,480,0.9,71.0544390628235
"512",197.36023,95.12572,4.882607,162.15909,0.3,140.300705,362.42072,148,541.6158,7.006639,940,0.4,108.209666810471
"513",25.95365,18.60485,3.275338,50.7048,0.1,3.155249,133.54422,29.9,138.7446,7.621577,174,0.4,30.106148857451
"514",45.9805,31.84962,3.14814,76.0358,0.2,5.631698,175.51476,68.2,266.6469,7.26002,386,7.8,48.6886701106667
"515",34.77836,27.1078,3.514952,66.25592,0.1,9.326563,141.17926,61,226.7975,7.314915,280,0.6,42.3702639755686
"516",78.41495,61.27864,7.233955,180.3929,0.9,58.824581,485.15167,81.9,294.142,6.129939,362,29.8,75.0677987432941
"517",66.18446,39.58955,2.682545,91.22146,0.2,50.476101,181.36043,84.5,306.5347,7.121634,468,0.4,58.4706279019608
"518",26.28686,18.57584,2.049052,58.29885,0.5,16.31654,109.92986,37.1,163.2224,7.197488,190,0.9,35.7380005439608
"519",41.13742,30.58761,3.054263,86.26109,0.3,6.097943,205.58371,64.6,245.5379,7.181825,366,11.7,48.6524156845882
"520",162.46509,78.49622,4.201067,152.80542,0.6,141.547226,322.94839,133,434.9717,7.132718,864,0.4,100.358668137294
"521",49.50432,35.31281,3.226777,95.99219,0.5,6.486812,231.56306,77.4,255.3217,7.251495,462,9.8,57.2176377937255
"522",22.87058,25.02248,2.649082,68.29552,0.3,6.824918,142.68513,52.9,190.5186,7.342179,302,0.4,40.8448769797647
"523",32.24881,28.34256,2.404789,74.81565,0.3,16.256969,142.75198,64.9,232.6382,7.213902,364,2.1,46.4709105043529
"524",29.97871,17.56891,2.320405,56.0762,0.2,6.846793,102.07108,46.8,164.1363,7.354521,154,2,35.2243653864314
